route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
59,1,59_5902_1_47700,,,1,,shp_59_5902,0,0
59,4,59_5905_4_42000,,,0,,shp_59_5905,0,0
59,4,59_5905_4_46800,,,0,,shp_59_5905,0,0
59,4,59_5906_4_43200,,,1,,shp_59_5906,0,0
59,4,59_5905_4_30000,,,0,,shp_59_5905,0,0
59,4,59_5905_4_34800,,,0,,shp_59_5905,0,0
59,1,59_5902_1_39900,,,1,,shp_59_5902,0,0
59,4,59_5905_4_39600,,,0,,shp_59_5905,0,0
59,1,59_5901_1_42000,,,0,,shp_59_5901,0,0
60,3,60_6001_3_39600,,,0,,shp_60_6001,0,0
59,1,59_5901_1_38100,,,0,,shp_59_5901,0,0
59,4,59_5906_4_28800,,,1,,shp_59_5906,0,0
59,1,59_5902_1_30300,,,1,,shp_59_5902,0,0
59,1,59_5904_1_68400,,,1,,shp_59_5904,0,0
59,1,59_5902_1_43800,,,1,,shp_59_5902,0,0
59,1,59_5901_1_30300,,,0,,shp_59_5901,0,0
60,3,60_6001_3_36000,,,0,,shp_60_6001,0,0
59,1,59_5902_1_26400,,,1,,shp_59_5902,0,0
59,1,59_5901_1_63300,,,0,,shp_59_5901,0,0
60,3,60_6001_3_32400,,,0,,shp_60_6001,0,0
59,4,59_5905_4_44400,,,0,,shp_59_5905,0,0
59,4,59_5906_4_45600,,,1,,shp_59_5906,0,0
59,4,59_5905_4_32400,,,0,,shp_59_5905,0,0
59,4,59_5906_4_33600,,,1,,shp_59_5906,0,0
60,3,60_6001_3_64800,,,0,,shp_60_6001,0,0
60,3,60_6002_3_34200,,,1,,shp_60_6002,0,0
59,1,59_5901_1_32400,,,0,,shp_59_5901,0,0
59,1,59_5901_1_28500,,,0,,shp_59_5901,0,0
59,1,59_5903_1_26820,,,0,,shp_59_5903,0,0
59,1,59_5903_1_66900,,,0,,shp_59_5903,0,0
59,4,59_5906_4_40800,,,1,,shp_59_5906,0,0
60,3,60_6002_3_41400,,,1,,shp_60_6002,0,0
60,3,60_6002_3_66600,,,1,,shp_60_6002,0,0
59,1,59_5902_1_34200,,,1,,shp_59_5902,0,0
59,1,59_5901_1_49800,,,0,,shp_59_5901,0,0
60,3,60_6002_3_37800,,,1,,shp_60_6002,0,0
59,1,59_5902_1_51600,,,1,,shp_59_5902,0,0
60,3,60_6001_3_46800,,,0,,shp_60_6001,0,0
59,1,59_5902_1_61200,,,1,,shp_59_5902,0,0
60,4,60_6002_4_52200,,,1,,shp_60_6002,0,0
60,4,60_6001_4_50400,,,0,,shp_60_6001,0,0
59,1,59_5901_1_45900,,,0,,shp_59_5901,0,0
59,4,59_5906_4_36000,,,1,,shp_59_5906,0,0
59,1,59_5902_1_28200,,,1,,shp_59_5902,0,0
59,1,59_5904_1_65100,,,1,,shp_59_5904,0,0
59,4,59_5906_4_31200,,,1,,shp_59_5906,0,0
60,3,60_6002_3_48600,,,1,,shp_60_6002,0,0
